カテゴリー,クラス名,説明
グリッドシステム,.container,固定幅のコンテナ
グリッドシステム,.container-fluid,全幅のコンテナ
グリッドシステム,.container-{breakpoint},ブレークポイントまで全幅、その後固定幅
グリッドシステム,.row,行を作成
グリッドシステム,.col,自動幅の列
グリッドシステム,.col-{1-12},固定幅の列（1から12）
グリッドシステム,.col-{breakpoint}-{1-12},ブレークポイント指定の列幅
グリッドシステム,.offset-{1-11},列のオフセット
グリッドシステム,.g-{0-5},ガターサイズ指定
表示,.d-{value},表示プロパティを設定
表示,.d-{breakpoint}-{value},ブレークポイント指定の表示
配置,.float-start,要素を左に浮動
配置,.float-end,要素を右に浮動
配置,.float-none,浮動を解除
位置,.position-static,position: static;
位置,.position-relative,position: relative;
位置,.position-absolute,position: absolute;
位置,.position-fixed,position: fixed;
位置,.position-sticky,position: sticky;
位置,.top-0,top: 0;
位置,.start-0,left: 0;
位置,.bottom-0,bottom: 0;
位置,.end-0,right: 0;
テキスト配置,.text-start,テキストを左揃え
テキスト配置,.text-center,テキストを中央揃え
テキスト配置,.text-end,テキストを右揃え
フレックス,.d-flex,display: flex;を適用
フレックス,.d-inline-flex,display: inline-flex;を適用
フレックス,.flex-row,行方向に配置
フレックス,.flex-column,列方向に配置
フレックス,.justify-content-start,主軸の開始位置に配置
フレックス,.justify-content-end,主軸の終了位置に配置
フレックス,.justify-content-center,主軸の中央に配置
フレックス,.justify-content-between,両端に配置し等間隔で配置
フレックス,.justify-content-around,等間隔で配置（両端にも間隔あり）
フレックス,.justify-content-evenly,完全な等間隔で配置
フレックス,.align-items-start,交差軸の開始位置に配置
フレックス,.align-items-end,交差軸の終了位置に配置
フレックス,.align-items-center,交差軸の中央に配置
フレックス,.align-items-baseline,ベースラインに合わせて配置
フレックス,.align-items-stretch,交差軸方向に引き伸ばして配置
フレックス,.flex-wrap,折り返しを許可
フレックス,.flex-nowrap,折り返しを禁止
フレックス,.order-{0-5},フレックスアイテムの順序を指定
マージン,.m-{0-5},全方向にマージンを設定
マージン,.mt-{0-5},上マージン
マージン,.mb-{0-5},下マージン
マージン,.ms-{0-5},左マージン（LTR）
マージン,.me-{0-5},右マージン（LTR）
マージン,.mx-{0-5},左右マージン
マージン,.my-{0-5},上下マージン
マージン,.m-auto,マージンを自動設定
パディング,.p-{0-5},全方向にパディングを設定
パディング,.pt-{0-5},上パディング
パディング,.pb-{0-5},下パディング
パディング,.ps-{0-5},左パディング（LTR）
パディング,.pe-{0-5},右パディング（LTR）
パディング,.px-{0-5},左右パディング
パディング,.py-{0-5},上下パディング
色,.text-primary,主要色のテキスト
色,.text-secondary,副次色のテキスト
色,.text-success,成功を表す色のテキスト
色,.text-danger,危険を表す色のテキスト
色,.text-warning,警告を表す色のテキスト
色,.text-info,情報を表す色のテキスト
色,.text-light,明るい色のテキスト
色,.text-dark,暗い色のテキスト
色,.text-body,本文色のテキスト
色,.text-muted,グレーアウトしたテキスト
色,.bg-primary,主要色の背景
色,.bg-secondary,副次色の背景
色,.bg-success,成功を表す色の背景
色,.bg-danger,危険を表す色の背景
色,.bg-warning,警告を表す色の背景
色,.bg-info,情報を表す色の背景
色,.bg-light,明るい色の背景
色,.bg-dark,暗い色の背景
色,.bg-body,本文色の背景
色,.bg-transparent,透明の背景
テキスト,.fw-bold,太字
テキスト,.fw-normal,通常の太さ
テキスト,.fw-light,細字
テキスト,.fst-italic,イタリック体
テキスト,.text-uppercase,全て大文字
テキスト,.text-lowercase,全て小文字
テキスト,.text-capitalize,単語の先頭を大文字
テキスト,.text-truncate,テキストを省略（...）
テキスト,.text-nowrap,テキストを折り返さない
テキスト,.text-break,長い文字列を強制的に折り返す
ボーダー,.border,全方向にボーダーを追加
ボーダー,.border-top,上部にボーダーを追加
ボーダー,.border-end,右側にボーダーを追加（LTR）
ボーダー,.border-bottom,下部にボーダーを追加
ボーダー,.border-start,左側にボーダーを追加（LTR）
ボーダー,.border-0,ボーダーを削除
ボーダー,.border-top-0,上部のボーダーを削除
ボーダー,.border-end-0,右側のボーダーを削除（LTR）
ボーダー,.border-bottom-0,下部のボーダーを削除
ボーダー,.border-start-0,左側のボーダーを削除（LTR）
ボーダー,.border-primary,主要色のボーダー
ボーダー,.rounded,全ての角を丸くする
ボーダー,.rounded-top,上部の角を丸くする
ボーダー,.rounded-end,右側の角を丸くする（LTR）
ボーダー,.rounded-bottom,下部の角を丸くする
ボーダー,.rounded-start,左側の角を丸くする（LTR）
ボーダー,.rounded-circle,円形にする
ボーダー,.rounded-pill,カプセル形にする
ボーダー,.rounded-0,角を丸くしない
シャドウ,.shadow-none,シャドウなし
シャドウ,.shadow-sm,小さいシャドウ
シャドウ,.shadow,通常のシャドウ
シャドウ,.shadow-lg,大きいシャドウ
サイズ,.w-25,幅を25%に設定
サイズ,.w-50,幅を50%に設定
サイズ,.w-75,幅を75%に設定
サイズ,.w-100,幅を100%に設定
サイズ,.w-auto,幅を自動設定
サイズ,.h-25,高さを25%に設定
サイズ,.h-50,高さを50%に設定
サイズ,.h-75,高さを75%に設定
サイズ,.h-100,高さを100%に設定
サイズ,.h-auto,高さを自動設定
サイズ,.mw-100,最大幅を100%に設定
サイズ,.mh-100,最大高さを100%に設定
サイズ,.min-vw-100,最小幅をビューポート幅の100%に設定
サイズ,.min-vh-100,最小高さをビューポート高さの100%に設定
サイズ,.vw-100,幅をビューポート幅の100%に設定
サイズ,.vh-100,高さをビューポート高さの100%に設定
フォーム,.form-control,基本的なフォーム要素のスタイル
フォーム,.form-control-lg,大きいサイズのフォーム要素
フォーム,.form-control-sm,小さいサイズのフォーム要素
フォーム,.form-select,セレクトボックスのスタイル
フォーム,.form-check,チェックボックスやラジオボタンのコンテナ
フォーム,.form-check-input,チェックボックスやラジオボタンの入力
フォーム,.form-check-label,チェックボックスやラジオボタンのラベル
フォーム,.form-switch,スイッチスタイルのトグル
フォーム,.input-group,入力グループ
フォーム,.is-valid,有効な入力を示す
フォーム,.is-invalid,無効な入力を示す
ボタン,.btn,基本的なボタンスタイル
ボタン,.btn-primary,主要色のボタン
ボタン,.btn-secondary,副次色のボタン
ボタン,.btn-success,成功を表す色のボタン
ボタン,.btn-danger,危険を表す色のボタン
ボタン,.btn-warning,警告を表す色のボタン
ボタン,.btn-info,情報を表す色のボタン
ボタン,.btn-light,明るい色のボタン
ボタン,.btn-dark,暗い色のボタン
ボタン,.btn-link,リンクスタイルのボタン
ボタン,.btn-outline-*,アウトラインスタイルのボタン（*は色名）
ボタン,.btn-lg,大きいサイズのボタン
ボタン,.btn-sm,小さいサイズのボタン
ナビゲーション,.nav,基本的なナビゲーションコンテナ
ナビゲーション,.nav-item,ナビゲーション項目
ナビゲーション,.nav-link,ナビゲーションリンク
ナビゲーション,.nav-tabs,タブスタイルのナビゲーション
ナビゲーション,.nav-pills,ピルスタイルのナビゲーション
ナビゲーション,.nav-fill,幅全体に広がるナビゲーション
ナビゲーション,.nav-justified,均等幅のナビゲーション
ナビバー,.navbar,ナビバーコンテナ
ナビバー,.navbar-brand,ブランドロゴや名前
ナビバー,.navbar-nav,ナビバー内のナビゲーション
ナビバー,.navbar-toggler,モバイル用の折りたたみボタン
ナビバー,.navbar-collapse,折りたたみ可能なコンテンツ
ナビバー,.navbar-expand-*,レスポンシブな展開（*は sm、md、lg、xl、xxl）
ナビバー,.navbar-light,明るい背景用のナビバー
ナビバー,.navbar-dark,暗い背景用のナビバー
カード,.card,カードコンテナ
カード,.card-body,カードの主要コンテンツ
カード,.card-title,カードのタイトル
カード,.card-subtitle,カードのサブタイトル
カード,.card-text,カードのテキスト
カード,.card-link,カード内のリンク
カード,.card-img-top,カード上部の画像
カード,.card-img-bottom,カード下部の画像
カード,.card-header,カードヘッダー
カード,.card-footer,カードフッター
アラート,.alert,アラートコンテナ
アラート,.alert-heading,アラートの見出し
アラート,.alert-link,アラート内のリンク
アラート,.alert-dismissible,閉じることができるアラート
アラート,.alert-*,アラートの色（*は primary、secondary、success など）
モーダル,.modal,モーダルコンテナ
モーダル,.modal-dialog,モーダルのダイアログ
モーダル,.modal-content,モーダルの内容
モーダル,.modal-header,モーダルのヘッダー
モーダル,.modal-title,モーダルのタイトル
モーダル,.modal-body,モーダルの本文
モーダル,.modal-footer,モーダルのフッター
リスト群,.list-group,リスト群コンテナ
リスト群,.list-group-item,リスト群の項目
リスト群,.list-group-item-action,クリック可能なリスト項目
ページネーション,.pagination,ページネーションコンテナ
ページネーション,.page-item,ページネーション項目
ページネーション,.page-link,ページネーションリンク
プログレスバー,.progress,プログレスバーコンテナ
プログレスバー,.progress-bar,プログレスバー
スピナー,.spinner-border,ボーダースピナー
スピナー,.spinner-grow,グロースピナー
トースト,.toast,トースト通知
トースト,.toast-header,トーストのヘッダー
トースト,.toast-body,トーストの本文
その他,.clearfix,フロートした要素を含む親要素にクリアフィックスを適用
その他,.visually-hidden,視覚的に隠す
その他,.visually-hidden-focusable,フォーカス時のみ表示
その他,.stretched-link,親要素全体をクリッカブルにする
その他,.text-decoration-none,テキストの装飾を削除
その他,.font-monospace,等幅フォントを適用
その他,.user-select-all,テキスト全選択を許可
その他,.user-select-auto,テキスト選択を自動設定
その他,.user-select-none,テキスト選択を禁止
その他,.pe-none,ポインターイベントを無効化
その他,.pe-auto,ポインターイベントを有効化
その他,.overflow-auto,オーバーフローを自動調整
その他,.overflow-hidden,オーバーフローを隠す
その他,.overflow-visible,オーバーフローを表示
その他,.overflow-scroll,オーバーフローをスクロール可能に
その他,.d-grid,グリッドコンテナとして表示
その他,.gap-{0-5},グリッドギャップを設定
その他,.ratio,アスペクト比を維持するコンテナ
その他,.ratio-1x1,1:1のアスペクト比
その他,.ratio-4x3,4:3のアスペクト比
その他,.ratio-16x9,16:9のアスペクト比
その他,.ratio-21x9,21:9のアスペクト比
その他,.fixed-top,画面上部に固定
その他,.fixed-bottom,画面下部に固定
その他,.sticky-top,スクロールで上部に固定
その他,.sticky-bottom,スクロールで下部に固定
その他,.visually-hidden,視覚的に隠すが、スクリーンリーダーでは読み上げる
その他,.text-truncate,テキストを省略（...）で表示
その他,.text-break,長い文字列を強制的に折り返す
その他,.text-nowrap,テキストを折り返さない
その他,.text-lowercase,全て小文字に変換
その他,.text-uppercase,全て大文字に変換
その他,.text-capitalize,単語の先頭を大文字に変換
その他,.fs-1,フォントサイズ1（最大）
その他,.fs-2,フォントサイズ2
その他,.fs-3,フォントサイズ3
その他,.fs-4,フォントサイズ4
その他,.fs-5,フォントサイズ5
その他,.fs-6,フォントサイズ6（最小）
その他,.fst-italic,イタリック体
その他,.fst-normal,通常のフォントスタイル
その他,.fw-bold,太字
その他,.fw-bolder,より太い
その他,.fw-normal,通常の太さ
その他,.fw-light,細字
その他,.fw-lighter,より細い
その他,.lh-1,行の高さ1
その他,.lh-sm,小さい行の高さ
その他,.lh-base,基本の行の高さ
その他,.lh-lg,大きい行の高さ
その他,.opacity-0,不透明度0%
その他,.opacity-25,不透明度25%
その他,.opacity-50,不透明度50%
その他,.opacity-75,不透明度75%
その他,.opacity-100,不透明度100%
その他,.shadow,通常のシャドウ
その他,.shadow-sm,小さいシャドウ
その他,.shadow-lg,大きいシャドウ
その他,.shadow-none,シャドウなし
その他,.w-auto,幅を自動設定
その他,.w-25,幅25%
その他,.w-50,幅50%
その他,.w-75,幅75%
その他,.w-100,幅100%
その他,.h-auto,高さを自動設定
その他,.h-25,高さ25%
その他,.h-50,高さ50%
その他,.h-75,高さ75%
その他,.h-100,高さ100%
その他,.translate-middle,要素を中央に配置